week_end,geography,pathogen,demographics_type,demographics_values,percent_visits
2023-07-15,United States,COVID-19,Sex,Male,0.6
2023-07-15,United States,COVID-19,Sex,Invalid,0.1
2023-07-15,United States,COVID-19,Sex,Other,0
2023-07-15,United States,COVID-19,Sex,Female,0.7
2023-07-15,United States,COVID-19,Age Group,18-64 years,0.6
2023-07-15,United States,COVID-19,Age Group,65+ years,1
2023-07-15,United States,COVID-19,Age Group,5-17 years,0.3
2023-07-15,United States,COVID-19,Age Group,0-4 years,1.1
2023-07-15,United States,COVID-19,Race/Ethnicity,Hispanic,0.9
2023-07-15,United States,COVID-19,Race/Ethnicity,"Multiple/Other, NH",0.6
2023-07-15,United States,COVID-19,Race/Ethnicity,"White, NH",0.6
2023-07-15,United States,COVID-19,Race/Ethnicity,"Asian/NHOPI, NH",1.2
2023-07-15,United States,COVID-19,Race/Ethnicity,"AI/AN, NH",0.7
2023-07-15,United States,COVID-19,Race/Ethnicity,"Black, NH",0.7
2023-02-25,United States,COVID-19,Sex,Male,1.7
2023-02-25,United States,COVID-19,Sex,Invalid,0.1
2023-02-25,United States,COVID-19,Sex,Other,4.2
2023-02-25,United States,COVID-19,Sex,Female,1.8
2023-02-25,United States,COVID-19,Age Group,18-64 years,1.4
2023-02-25,United States,COVID-19,Age Group,65+ years,2.9
2023-02-25,United States,COVID-19,Age Group,5-17 years,0.7
2023-02-25,United States,COVID-19,Age Group,0-4 years,2
2023-02-25,United States,COVID-19,Race/Ethnicity,Hispanic,1.5
2023-02-25,United States,COVID-19,Race/Ethnicity,"Multiple/Other, NH",1.4
2023-02-25,United States,COVID-19,Race/Ethnicity,"White, NH",1.9
2023-02-25,United States,COVID-19,Race/Ethnicity,"Asian/NHOPI, NH",1.9
2023-02-25,United States,COVID-19,Race/Ethnicity,"AI/AN, NH",2.1
2023-02-25,United States,COVID-19,Race/Ethnicity,"Black, NH",1.5
2024-05-25,United States,COVID-19,Sex,Male,0.4
2024-05-25,United States,COVID-19,Sex,Invalid,0
